Timestamp,Temperature (°C),Humidity (%)
2024-08-10 13:35:01,27.6,52.33
2024-08-10 13:37:02,27.6,52.3
2024-08-10 13:39:02,27.6,52.3
2024-08-10 13:41:03,27.7,52.3
2024-08-10 13:43:03,27.7,52.42
2024-08-10 13:45:03,27.7,52.44
2024-08-10 13:47:04,27.7,52.56
2024-08-10 13:49:04,27.7,52.5
2024-08-10 13:51:04,27.7,52.5
2024-08-10 13:53:05,27.7,52.55
2024-08-10 13:55:05,27.7,52.67
2024-08-10 13:57:06,27.7,52.84
2024-08-10 13:59:06,27.75,53.02
2024-08-10 14:01:06,27.8,53.0
2024-08-10 14:03:07,27.8,53.0
2024-08-10 14:05:07,27.8,52.8
2024-08-10 14:07:07,27.8,52.43
2024-08-10 14:09:08,27.8,52.06
2024-08-10 14:11:08,27.8,51.85
2024-08-10 14:13:08,27.8,51.8
2024-08-10 14:15:09,27.8,51.86
2024-08-10 14:17:09,27.8,51.9
2024-08-10 14:19:09,27.8,52.0
2024-08-10 14:21:10,27.8,52.04
2024-08-10 14:23:10,27.8,52.14
2024-08-10 14:25:10,27.8,52.23
2024-08-10 14:27:11,27.8,52.2
2024-08-10 14:29:11,27.8,52.1
2024-08-10 14:31:11,27.8,52.2
2024-08-10 14:33:13,27.8,52.25
