Timestamp,Temperature (°C),Humidity (%)
2024-08-10 01:56:00,24.4,72.87
2024-08-10 01:58:01,24.4,72.8
2024-08-10 02:00:01,24.4,72.8
2024-08-10 02:02:01,24.4,72.73
2024-08-10 02:04:02,24.4,72.75
2024-08-10 02:06:02,24.37,72.75
2024-08-10 02:08:03,24.34,72.77
2024-08-10 02:10:03,24.3,72.73
2024-08-10 02:12:03,24.3,72.73
2024-08-10 02:14:04,24.3,72.75
2024-08-10 02:16:04,24.3,72.65
2024-08-10 02:18:05,24.3,72.7
2024-08-10 02:20:05,24.3,72.58
2024-08-10 02:22:05,24.3,72.55
2024-08-10 02:24:06,24.3,72.6
2024-08-10 02:26:06,24.3,72.65
2024-08-10 02:28:07,24.3,72.56
2024-08-10 02:30:07,24.3,72.46
2024-08-10 02:32:07,24.3,72.48
2024-08-10 02:34:08,24.3,72.4
2024-08-10 02:36:08,24.3,72.4
2024-08-10 02:38:08,24.27,72.36
2024-08-10 02:40:09,24.2,72.35
2024-08-10 02:42:09,24.2,72.4
2024-08-10 02:44:10,24.2,72.27
2024-08-10 02:46:10,24.2,72.2
2024-08-10 02:48:10,24.2,72.14
2024-08-10 02:50:11,24.2,72.1
2024-08-10 02:52:11,24.2,72.1
2024-08-10 02:54:12,24.2,71.9
