Timestamp,Temperature (°C),Humidity (%)
2024-08-10 04:56:38,23.7,68.6
2024-08-10 04:58:38,23.7,68.56
2024-08-10 05:00:38,23.7,68.46
2024-08-10 05:02:39,23.7,68.4
2024-08-10 05:04:39,23.7,68.28
2024-08-10 05:06:39,23.7,68.3
2024-08-10 05:08:40,23.65,68.3
2024-08-10 05:10:40,23.6,68.33
2024-08-10 05:12:41,23.6,68.17
2024-08-10 05:14:41,23.6,68.1
2024-08-10 05:16:41,23.6,68.0
2024-08-10 05:18:42,23.6,67.97
2024-08-10 05:20:42,23.6,67.97
2024-08-10 05:22:43,23.6,67.9
2024-08-10 05:24:43,23.6,67.8
2024-08-10 05:26:43,23.6,67.8
2024-08-10 05:28:44,23.57,67.71
2024-08-10 05:30:44,23.54,67.66
2024-08-10 05:32:44,23.5,67.6
2024-08-10 05:34:45,23.5,67.5
2024-08-10 05:36:45,23.5,67.5
2024-08-10 05:38:46,23.5,67.5
2024-08-10 05:40:46,23.5,67.43
2024-08-10 05:42:46,23.5,67.34
2024-08-10 05:44:47,23.5,67.3
2024-08-10 05:46:47,23.5,67.3
2024-08-10 05:48:48,23.5,67.25
2024-08-10 05:50:48,23.5,67.14
2024-08-10 05:52:48,23.5,67.1
2024-08-10 05:54:49,23.5,66.97
