Timestamp,Temperature (°C),Humidity (%)
2024-08-10 11:57:59,27.2,54.0
2024-08-10 11:59:59,27.2,54.06
2024-08-10 12:02:00,27.2,54.1
2024-08-10 12:04:00,27.2,54.14
2024-08-10 12:06:00,27.2,54.16
2024-08-10 12:08:01,27.2,54.18
2024-08-10 12:10:01,27.2,54.13
2024-08-10 12:12:01,27.2,54.1
2024-08-10 12:14:02,27.2,54.2
2024-08-10 12:16:02,27.2,54.2
2024-08-10 12:18:03,27.2,54.12
2024-08-10 12:20:03,27.2,54.0
2024-08-10 12:22:04,27.2,54.28
2024-08-10 12:24:04,27.2,54.41
2024-08-10 12:26:04,27.3,54.2
2024-08-10 12:28:05,27.3,53.91
2024-08-10 12:30:05,27.3,53.25
2024-08-10 12:32:05,27.3,52.74
2024-08-10 12:34:06,27.3,52.38
2024-08-10 12:36:07,27.3,52.2
2024-08-10 12:38:08,27.3,52.87
2024-08-10 12:40:08,27.3,53.3
2024-08-10 12:42:08,27.3,53.46
2024-08-10 12:44:09,27.32,53.4
2024-08-10 12:46:09,27.35,53.4
2024-08-10 12:48:09,27.4,53.27
2024-08-10 12:50:10,27.4,53.17
2024-08-10 12:52:11,27.4,52.88
2024-08-10 12:54:12,27.4,52.66
2024-08-10 12:56:12,27.4,52.57
