Timestamp,Temperature (°C),Humidity (%)
2024-08-10 05:56:49,23.5,66.78
2024-08-10 05:58:50,23.5,66.76
2024-08-10 06:00:50,23.5,66.63
2024-08-10 06:02:50,23.5,66.6
2024-08-10 06:04:51,23.47,66.44
2024-08-10 06:06:51,23.47,66.54
2024-08-10 06:08:51,23.54,66.61
2024-08-10 06:10:52,23.76,66.04
2024-08-10 06:12:52,24.04,65.09
2024-08-10 06:14:53,24.33,64.04
2024-08-10 06:16:53,24.61,63.1
2024-08-10 06:18:53,24.84,62.23
2024-08-10 06:20:54,25.05,61.52
2024-08-10 06:22:54,25.22,60.96
2024-08-10 06:24:55,25.37,60.35
2024-08-10 06:26:55,25.5,59.85
2024-08-10 06:28:55,25.6,59.4
2024-08-10 06:30:56,25.7,59.07
2024-08-10 06:32:57,25.8,58.8
2024-08-10 06:34:57,25.83,58.48
2024-08-10 06:36:58,25.9,58.24
2024-08-10 06:38:58,25.95,57.97
2024-08-10 06:40:59,26.0,57.78
2024-08-10 06:42:59,26.0,57.63
2024-08-10 06:44:59,26.06,57.44
2024-08-10 06:47:00,26.1,57.3
2024-08-10 06:49:00,26.1,57.2
2024-08-10 06:51:00,26.1,57.07
2024-08-10 06:53:01,26.14,57.0
2024-08-10 06:55:01,26.2,56.9
