Timestamp,Temperature (°C),Humidity (%)
2024-08-10 09:57:35,26.6,53.9
2024-08-10 09:59:36,26.67,53.76
2024-08-10 10:01:36,26.7,53.8
2024-08-10 10:03:37,26.7,53.9
2024-08-10 10:05:37,26.7,53.85
2024-08-10 10:07:37,26.8,53.78
2024-08-10 10:09:38,26.69,54.99
2024-08-10 10:11:38,26.53,57.56
2024-08-10 10:13:38,26.5,56.72
2024-08-10 10:15:39,26.6,56.11
2024-08-10 10:17:39,26.6,55.6
2024-08-10 10:19:40,26.66,55.25
2024-08-10 10:21:40,26.7,54.96
2024-08-10 10:23:40,26.76,54.7
2024-08-10 10:25:41,26.8,54.48
2024-08-10 10:27:41,26.8,54.33
2024-08-10 10:29:41,26.8,54.3
2024-08-10 10:31:42,26.85,54.2
2024-08-10 10:33:42,26.9,54.0
2024-08-10 10:35:43,26.9,53.94
2024-08-10 10:37:43,26.9,53.77
2024-08-10 10:39:43,26.9,53.6
2024-08-10 10:41:44,26.9,53.5
2024-08-10 10:43:44,26.9,53.46
2024-08-10 10:45:44,26.9,53.47
2024-08-10 10:47:45,26.96,53.5
2024-08-10 10:49:45,27.0,53.46
2024-08-10 10:51:45,27.0,53.43
2024-08-10 10:53:46,27.0,53.43
2024-08-10 10:55:46,27.0,53.5
