Timestamp,Temperature (°C),Humidity (%)
2024-08-10 00:55:48,24.6,71.15
2024-08-10 00:57:48,24.64,71.22
2024-08-10 00:59:48,24.7,72.05
2024-08-10 01:01:49,24.7,72.3
2024-08-10 01:03:49,24.7,72.32
2024-08-10 01:05:50,24.7,72.43
2024-08-10 01:07:50,24.7,72.57
2024-08-10 01:09:50,24.64,72.63
2024-08-10 01:11:51,24.6,72.71
2024-08-10 01:13:51,24.6,72.7
2024-08-10 01:15:51,24.6,72.8
2024-08-10 01:17:52,24.6,72.83
2024-08-10 01:19:52,24.6,72.8
2024-08-10 01:21:53,24.6,72.8
2024-08-10 01:23:53,24.6,72.86
2024-08-10 01:25:53,24.54,72.87
2024-08-10 01:27:54,24.5,72.95
2024-08-10 01:29:54,24.5,73.0
2024-08-10 01:31:56,24.5,72.89
2024-08-10 01:33:56,24.5,72.91
2024-08-10 01:35:56,24.5,72.9
2024-08-10 01:37:57,24.5,72.9
2024-08-10 01:39:57,24.5,72.9
2024-08-10 01:41:58,24.5,72.93
2024-08-10 01:43:58,24.46,72.99
2024-08-10 01:45:58,24.4,72.9
2024-08-10 01:47:59,24.4,72.94
2024-08-10 01:49:59,24.4,72.86
2024-08-10 01:51:59,24.4,72.85
2024-08-10 01:54:00,24.4,72.8
