Timestamp,Temperature (°C),Humidity (%)
2024-08-08 19:49:49,28.0,48.53
2024-08-08 19:51:49,28.0,48.5
2024-08-08 19:53:50,28.0,48.35
2024-08-08 19:55:51,28.0,48.42
2024-08-08 19:57:52,28.0,48.46
2024-08-08 19:59:52,28.0,48.23
2024-08-08 20:01:52,28.0,48.01
2024-08-08 20:03:53,28.0,48.04
2024-08-08 20:05:53,28.0,48.24
2024-08-08 20:07:54,28.0,48.26
2024-08-08 20:09:54,28.0,48.3
2024-08-08 20:11:54,28.0,48.3
2024-08-08 20:13:55,28.0,48.36
2024-08-08 20:15:55,28.0,48.45
2024-08-08 20:17:56,28.0,48.5
2024-08-08 20:19:56,28.0,48.6
2024-08-08 20:21:56,28.0,48.65
2024-08-08 20:23:57,28.0,48.68
2024-08-08 20:25:57,28.0,48.75
2024-08-08 20:27:58,28.0,48.85
2024-08-08 20:29:58,28.0,48.83
2024-08-08 20:31:58,28.0,48.9
2024-08-08 20:33:59,28.0,49.0
2024-08-08 20:35:59,27.97,49.05
2024-08-08 20:38:00,27.97,49.1
2024-08-08 20:40:00,28.0,49.13
2024-08-08 20:42:00,28.0,49.1
2024-08-08 20:44:01,27.94,49.2
2024-08-08 20:46:01,27.93,49.2
2024-08-08 20:48:02,27.9,49.3
