Timestamp,Temperature (°C),Humidity (%)
2024-08-09 08:52:30,26.55,49.4
2024-08-09 08:54:30,26.6,49.35
2024-08-09 08:56:31,26.6,49.3
2024-08-09 08:58:32,26.6,49.33
2024-08-09 09:00:33,26.6,49.3
2024-08-09 09:02:33,26.6,49.34
2024-08-09 09:04:34,26.6,49.4
2024-08-09 09:06:34,26.6,49.37
2024-08-09 09:08:34,26.6,49.4
2024-08-09 09:10:35,26.6,49.43
2024-08-09 09:12:35,26.6,49.53
2024-08-09 09:14:35,26.67,50.1
2024-08-09 09:16:36,26.77,50.47
2024-08-09 09:18:36,26.85,50.65
2024-08-09 09:20:37,26.9,51.15
2024-08-09 09:22:37,26.9,50.82
2024-08-09 09:24:37,26.9,50.15
2024-08-09 09:26:38,26.9,50.18
2024-08-09 09:28:38,26.9,50.43
2024-08-09 09:30:38,26.9,50.5
2024-08-09 09:32:39,26.95,50.55
2024-08-09 09:34:39,27.0,50.29
2024-08-09 09:36:40,27.0,50.26
2024-08-09 09:38:40,27.0,50.09
2024-08-09 09:40:40,27.06,49.95
2024-08-09 09:42:41,27.1,50.06
2024-08-09 09:44:41,27.1,49.92
2024-08-09 09:46:42,27.1,49.89
2024-08-09 09:48:42,27.1,49.95
2024-08-09 09:50:42,27.1,49.93
