Timestamp,Temperature (°C),Humidity (%)
2024-08-09 06:52:05,26.54,53.13
2024-08-09 06:54:06,26.6,53.0
2024-08-09 06:56:06,26.6,52.86
2024-08-09 06:58:06,26.53,52.8
2024-08-09 07:00:07,26.5,52.63
2024-08-09 07:02:07,26.5,52.45
2024-08-09 07:04:07,26.5,52.32
2024-08-09 07:06:08,26.5,52.2
2024-08-09 07:08:08,26.5,52.1
2024-08-09 07:10:09,26.5,51.96
2024-08-09 07:12:10,26.5,51.9
2024-08-09 07:14:10,26.5,51.86
2024-08-09 07:16:11,26.5,51.8
2024-08-09 07:18:11,26.5,51.7
2024-08-09 07:20:11,26.5,51.52
2024-08-09 07:22:12,26.5,51.98
2024-08-09 07:24:12,26.6,52.25
2024-08-09 07:26:13,26.7,51.93
2024-08-09 07:28:13,26.7,51.8
2024-08-09 07:30:13,26.7,51.75
2024-08-09 07:32:15,26.7,51.57
2024-08-09 07:34:15,26.7,51.5
2024-08-09 07:36:16,26.7,51.43
2024-08-09 07:38:16,26.7,51.34
2024-08-09 07:40:16,26.7,51.3
2024-08-09 07:42:17,26.7,51.3
2024-08-09 07:44:17,26.7,51.25
2024-08-09 07:46:17,26.7,51.36
2024-08-09 07:48:18,26.7,51.32
2024-08-09 07:50:18,26.7,51.14
