Timestamp,Temperature (°C),Humidity (%)
2024-08-10 03:56:25,23.9,70.7
2024-08-10 03:58:25,23.9,70.65
2024-08-10 04:00:26,23.9,70.63
2024-08-10 04:02:26,23.9,70.6
2024-08-10 04:04:26,23.9,70.6
2024-08-10 04:06:27,23.9,70.57
2024-08-10 04:08:27,23.9,70.46
2024-08-10 04:10:28,23.87,70.4
2024-08-10 04:12:28,23.86,70.33
2024-08-10 04:14:28,23.8,70.3
2024-08-10 04:16:29,23.8,70.23
2024-08-10 04:18:29,23.8,70.14
2024-08-10 04:20:29,23.8,70.07
2024-08-10 04:22:30,23.8,70.0
2024-08-10 04:24:30,23.8,69.9
2024-08-10 04:26:31,23.8,69.8
2024-08-10 04:28:31,23.8,69.73
2024-08-10 04:30:31,23.8,69.66
2024-08-10 04:32:32,23.8,69.53
2024-08-10 04:34:32,23.8,69.4
2024-08-10 04:36:32,23.8,69.37
2024-08-10 04:38:33,23.75,69.3
2024-08-10 04:40:33,23.7,69.16
2024-08-10 04:42:34,23.7,69.1
2024-08-10 04:44:34,23.7,69.0
2024-08-10 04:46:34,23.7,68.97
2024-08-10 04:48:35,23.7,68.87
2024-08-10 04:50:35,23.7,68.73
2024-08-10 04:52:37,23.7,68.7
2024-08-10 04:54:37,23.7,68.6
