Timestamp,Temperature (°C),Humidity (%)
2024-08-08 15:48:57,27.5,52.57
2024-08-08 15:50:58,27.5,52.64
2024-08-08 15:52:58,27.5,52.7
2024-08-08 15:54:59,27.5,52.57
2024-08-08 15:56:59,27.53,52.44
2024-08-08 15:58:59,27.57,52.26
2024-08-08 16:01:00,27.6,52.26
2024-08-08 16:03:00,27.6,52.06
2024-08-08 16:05:00,27.6,52.0
2024-08-08 16:07:01,27.6,51.95
2024-08-08 16:09:01,27.6,51.8
2024-08-08 16:11:02,27.6,51.64
2024-08-08 16:13:02,27.6,51.34
2024-08-08 16:15:02,27.6,51.13
2024-08-08 16:17:03,27.6,51.13
2024-08-08 16:19:03,27.6,50.97
2024-08-08 16:21:04,27.57,51.33
2024-08-08 16:23:04,27.6,51.75
2024-08-08 16:25:05,27.6,51.7
2024-08-08 16:27:06,27.6,51.11
2024-08-08 16:29:06,27.56,51.04
2024-08-08 16:31:06,27.53,51.3
2024-08-08 16:33:07,27.53,51.25
2024-08-08 16:35:07,27.54,51.09
2024-08-08 16:37:08,27.5,51.14
2024-08-08 16:39:08,27.5,51.0
2024-08-08 16:41:08,27.5,50.87
2024-08-08 16:43:09,27.5,50.9
2024-08-08 16:45:09,27.53,50.72
2024-08-08 16:47:09,27.6,50.24
