Timestamp,Temperature (°C),Humidity (%)
2024-08-08 14:48:45,27.1,50.92
2024-08-08 14:50:46,27.03,50.7
2024-08-08 14:52:46,27.0,50.84
2024-08-08 14:54:47,27.0,50.76
2024-08-08 14:56:47,27.0,50.96
2024-08-08 14:58:48,27.1,51.73
2024-08-08 15:00:48,27.14,52.73
2024-08-08 15:02:48,27.2,52.83
2024-08-08 15:04:49,27.1,53.4
2024-08-08 15:06:49,27.21,53.62
2024-08-08 15:08:49,27.34,53.55
2024-08-08 15:10:50,27.4,53.39
2024-08-08 15:12:50,27.44,53.5
2024-08-08 15:14:51,27.5,53.63
2024-08-08 15:16:51,27.5,53.7
2024-08-08 15:18:51,27.5,53.58
2024-08-08 15:20:52,27.5,53.38
2024-08-08 15:22:52,27.5,52.65
2024-08-08 15:24:53,27.5,53.05
2024-08-08 15:26:53,27.5,53.1
2024-08-08 15:28:53,27.5,52.6
2024-08-08 15:30:54,27.46,52.24
2024-08-08 15:32:54,27.4,52.21
2024-08-08 15:34:55,27.4,52.68
2024-08-08 15:36:55,27.4,52.83
2024-08-08 15:38:55,27.4,52.8
2024-08-08 15:40:56,27.4,52.64
2024-08-08 15:42:56,27.4,52.65
2024-08-08 15:44:57,27.5,52.71
2024-08-08 15:46:57,27.5,52.69
