Timestamp,Temperature (°C),Humidity (%)
2024-08-08 18:49:36,28.1,48.23
2024-08-08 18:51:36,28.1,48.23
2024-08-08 18:53:37,28.1,48.1
2024-08-08 18:55:38,28.1,47.95
2024-08-08 18:57:38,28.06,48.13
2024-08-08 18:59:39,28.04,48.2
2024-08-08 19:01:39,28.06,48.11
2024-08-08 19:03:40,28.04,48.13
2024-08-08 19:05:40,28.05,48.16
2024-08-08 19:07:40,28.05,47.84
2024-08-08 19:09:41,28.0,47.9
2024-08-08 19:11:41,28.0,47.88
2024-08-08 19:13:42,28.0,48.03
2024-08-08 19:15:42,28.0,48.23
2024-08-08 19:17:42,28.0,48.62
2024-08-08 19:19:43,28.0,48.57
2024-08-08 19:21:43,28.0,48.53
2024-08-08 19:23:44,28.0,48.5
2024-08-08 19:25:44,28.02,48.5
2024-08-08 19:27:44,28.03,48.5
2024-08-08 19:29:45,28.0,48.54
2024-08-08 19:31:45,28.0,48.56
2024-08-08 19:33:46,28.04,48.4
2024-08-08 19:35:46,28.0,48.4
2024-08-08 19:37:46,28.0,48.34
2024-08-08 19:39:47,28.0,48.37
2024-08-08 19:41:47,28.0,48.43
2024-08-08 19:43:48,28.0,48.45
2024-08-08 19:45:48,28.0,48.38
2024-08-08 19:47:48,28.0,48.52
